"dutch","english","article","plural","example"
"huis","house","het","huizen","Het huis is heel groot."
"man","man","de","mannen","De man leest een boek."
"vrouw","woman","de","vrouwen","De vrouw werkt in de stad."
"kind","child","het","kinderen","Het kind speelt buiten."
"hond","dog","de","honden","De hond speelt in de tuin."
"kat","cat","de","katten","De kat slaapt op de bank."
"boek","book","het","boeken","Ik lees een mooi boek."
"tafel","table","de","tafels","De tafel staat in de keuken."
"stoel","chair","de","stoelen","De stoel is heel comfortabel."
"deur","door","de","deuren","Doe de deur even dicht."
"raam","window","het","ramen","Het raam is open."
"auto","car","de","auto's","De auto staat voor het huis."
"fiets","bicycle","de","fietsen","Ik ga met de fiets."
"trein","train","de","treinen","De trein vertrekt om acht uur."
"straat","street","de","straten","De straat is heel rustig."
"stad","city","de","steden","De stad is heel mooi."
"land","country","het","landen","Nederland is een klein land."
"water","water","het","wateren","Ik drink veel water."
"brood","bread","het","broden","Ik eet brood met kaas."
"kaas","cheese","de","kazen","De kaas smaakt heel lekker."
"appel","apple","de","appels","Ik eet elke dag een appel."
"melk","milk","de","melken","De melk staat in de koelkast."
"koffie","coffee","de","koffie","Ik drink elke ochtend koffie."
"thee","tea","de","thee","Wil je een kopje thee?"
"tijd","time","de","tijden","Ik heb nu geen tijd."
"dag","day","de","dagen","Het is een mooie dag."
"nacht","night","de","nachten","Ik slaap goed in de nacht."
"week","week","de","weken","Volgende week ga ik werken."
"maand","month","de","maanden","Deze maand is heel druk."
"jaar","year","het","jaren","Het jaar gaat heel snel."
"uur","hour","het","uren","Ik wacht al een uur."
"geld","money","het","gelden","Ik heb niet veel geld."
"werk","work","het","werken","Mijn werk begint om negen uur."
"school","school","de","scholen","De kinderen gaan naar school."
"vriend","friend","de","vrienden","Mijn vriend woont in Amsterdam."
"familie","family","de","families","Mijn familie is heel groot."
"moeder","mother","de","moeders","Mijn moeder kookt heel lekker."
"vader","father","de","vaders","Mijn vader werkt in de stad."
"naam","name","de","namen","Wat is jouw naam?"
"hand","hand","de","handen","Geef me je hand."
"oog","eye","het","ogen","Ik heb iets in mijn oog."
"hoofd","head","het","hoofden","Mijn hoofd doet pijn."
"woord","word","het","woorden","Ik ken dit woord niet."
"vraag","question","de","vragen","Ik heb een korte vraag."
"winkel","shop","de","winkels","De winkel is nu open."
"telefoon","telephone","de","telefoons","Mijn telefoon is bijna leeg."
"zoon","son","de","zonen","Mijn zoon gaat naar de basisschool."
"dochter","daughter","de","dochters","Mijn dochter houdt veel van dieren."
"broer","brother","de","broers","Mijn broer woont in een ander land."
"zus","sister","de","zussen","Mijn zus komt vanavond bij ons eten."
"baby","baby","de","baby's","De baby slaapt rustig in de wieg."
"jongen","boy","de","jongens","De jongen speelt met zijn nieuwe bal."
"meisje","girl","het","meisjes","Het meisje tekent een mooie bloem."
"oma","grandma","de","oma's","Mijn oma bakt elke zondag een taart."
"opa","grandpa","de","opa's","Mijn opa vertelt graag oude verhalen."
"tante","aunt","de","tantes","Mijn tante woont vlak bij ons."
"oom","uncle","de","ooms","Mijn oom werkt op een grote boerderij."
"mens","human","de","mensen","Elk mens heeft behoefte aan rust."
"haar","hair","het","haren","Mijn haar is vandaag erg krullig."
"gezicht","face","het","gezichten","Zij wast haar gezicht met koud water."
"lichaam","body","het","lichamen","Sport houdt je lichaam gezond en sterk."
"lip","lip","de","lippen","Mijn lip is gesprongen door de kou."
"tong","tongue","de","tongen","De soep brandde op mijn tong."
"nek","neck","de","nekken","Mijn nek is stijf na het slapen."
"borst","chest","de","borsten","Hij voelt een drukkende pijn op de borst."
"elleboog","elbow","de","ellebogen","Hij stootte zijn elleboog tegen de deur."
"pols","wrist","de","polsen","Ze draagt een horloge om haar pols."
"enkel","ankle","de","enkels","Ik heb mijn enkel lelijk verzwikt."
"teen","toe","de","tenen","Ik stootte mijn teen tegen de tafel."
"duim","thumb","de","duimen","De baby zuigt op zijn duim."
"wang","cheek","de","wangen","Het kind heeft rode wangen van de kou."
"broek","trousers","de","broeken","Mijn broek is te kort geworden."
"jas","coat","de","jassen","Trek je jas aan, het regent."
"jurk","dress","de","jurken","Ze draagt een mooie rode jurk."
"hemd","shirt","het","hemden","Zijn witte hemd zit netjes gestreken."
"trui","sweater","de","truien","Ik draag een warme trui."
"rok","skirt","de","rokken","De rok valt tot net boven de knie."
"schoen","shoe","de","schoenen","Mijn linker schoen zit veel te strak."
"sok","sock","de","sokken","Ik kan mijn andere sok niet vinden."
"hoed","hat","de","hoeden","Hij draagt een grote zwarte hoed."
"muts","beanie","de","mutsen","Zet je muts op, het vriest."
"handschoen","glove","de","handschoenen","Ik ben mijn rechter handschoen verloren."
"sjaal","scarf","de","sjaals","Ze knoopte een warme sjaal om."
"riem","belt","de","riemen","Mijn riem is een gaatje te groot."
"das","tie","de","dassen","Hij draagt een nette das naar zijn werk."
"laars","boot","de","laarzen","Ik trek mijn laarzen aan bij regen."
"zak","pocket","de","zakken","Mijn sleutels zitten in mijn zak."
"tas","bag","de","tassen","Mijn tas is veel te zwaar."
"vlees","meat","het","vlees","Ik eet niet zo vaak vlees."
"kip","chicken","de","kippen","De kip loopt vrij in de tuin."
"rijst","rice","de","rijst","Bij de kip eten we witte rijst."
"fruit","fruit","het","fruit","Ik eet elke dag vers fruit."
"banaan","banana","de","bananen","Een rijpe banaan is lekker zoet."
"sinaasappel","orange","de","sinaasappels","Ik pers een verse sinaasappel uit."
"aardbei","strawberry","de","aardbeien","De rode aardbei smaakt heerlijk zoet."
"tomaat","tomato","de","tomaten","Ik snijd een tomaat voor de salade."
"ui","onion","de","uien","Snijd de ui in kleine stukjes."
"wortel","carrot","de","wortels","Het konijn knabbelt aan een wortel."
"sla","lettuce","de","sla","Ik was de verse sla goed."
"boter","butter","de","boter","Smeer wat boter op je brood."
"zout","salt","het","zout","Er zit te veel zout in."
"peper","pepper","de","peper","Doe wat peper over de soep."
"chocolade","chocolate","de","chocolade","Ik hou heel veel van chocolade."
"snoep","candy","het","snoep","Kinderen eten graag te veel snoep."
"koek","cookie","de","koeken","Bij de thee eet ik een koek."
"taart","cake","de","taarten","Ze bakt een taart voor het feest."
"ijs","ice cream","het","ijsjes","In de zomer eet ik graag ijs."
"pizza","pizza","de","pizza's","Vanavond bestellen we een grote pizza."
"friet","fries","de","friet","Ik eet graag friet met mayonaise."
"worst","sausage","de","worsten","De slager verkoopt verse worst."
"ham","ham","de","hammen","Ik eet een broodje met ham."
"olie","oil","de","oliën","Doe wat olie in de pan."
"sap","juice","het","sappen","Ik drink een glas vers sap."
"diner","dinner","het","diners","Het diner is om zeven uur klaar."
"kopje","cup","het","kopjes","Ik drink een kopje warme melk."
"handdoek","towel","de","handdoeken","Pak een schone handdoek uit de kast."
"zeep","soap","de","zepen","Was je handen goed met zeep."
"tandenborstel","toothbrush","de","tandenborstels","Mijn tandenborstel is aan vervanging toe."
"kam","comb","de","kammen","Ik haal een kam door mijn haar."
"emmer","bucket","de","emmers","De emmer staat vol met water."
"sleutel","key","de","sleutels","Ik ben mijn sleutel weer kwijt."
"slot","lock","het","sloten","Het slot van de deur is kapot."
"touw","rope","het","touwen","Bind de doos vast met een touw."
"schaar","scissors","de","scharen","Geef me even de scherpe schaar."
"pen","pen","de","pennen","Mijn pen doet het niet meer."
"potlood","pencil","het","potloden","Ik teken met een zacht potlood."
"papier","paper","het","papieren","Ik schrijf het op een vel papier."
"schrift","notebook","het","schriften","Ik schrijf de woorden in mijn schrift."
"verf","paint","de","verven","De verf op de muur is nog nat."
"hamer","hammer","de","hamers","Ik sla de spijker met een hamer."
"spijker","nail","de","spijkers","De spijker zit los in de plank."
"gereedschap","tool","het","gereedschappen","Mijn gereedschap ligt in de schuur."
"doos","box","de","dozen","De doos staat vol met oude spullen."
"mand","basket","de","manden","De was zit in de mand."
"kaars","candle","de","kaarsen","Op de tafel brandt een kaars."
"batterij","battery","de","batterijen","De batterij van de klok is leeg."
"televisie","television","de","televisies","We kijken samen naar de televisie."
"bal","ball","de","ballen","De kinderen spelen met een grote bal."
"schoorsteen","chimney","de","schoorstenen","Uit de schoorsteen komt grijze rook."
"balkon","balcony","het","balkons","Op het balkon staan veel planten."
"garage","garage","de","garages","De auto staat in de garage."
"schuur","shed","de","schuren","De fietsen staan in de schuur."
"hek","fence","het","hekken","Het hek om de tuin is hoog."
"verdieping","floor","de","verdiepingen","Wij wonen op de derde verdieping."
"adres","address","het","adressen","Wat is jouw nieuwe adres?"
"bel","doorbell","de","bellen","Er gaat iemand aan de bel."
"brievenbus","mailbox","de","brievenbussen","De krant zit in de brievenbus."
"bad","bath","het","baden","Het kind zit graag in bad."
"douche","shower","de","douches","Ik neem elke ochtend een douche."
"toilet","toilet","het","toiletten","Het toilet is achter in de gang."
"park","park","het","parken","We wandelen graag door het park."
"plein","square","het","pleinen","Op het plein staat een groot standbeeld."
"weg","road","de","wegen","De weg naar het dorp is smal."
"pad","path","het","paden","Het pad door het bos is modderig."
"hoek","corner","de","hoeken","De winkel staat op de hoek."
"bakker","baker","de","bakkers","Bij de bakker ruikt het heerlijk."
"slager","butcher","de","slagers","De slager snijdt het vlees dun."
"apotheek","pharmacy","de","apotheken","Ik haal mijn pillen bij de apotheek."
"restaurant","restaurant","het","restaurants","We eten vanavond in een Italiaans restaurant."
"café","café","het","cafés","We drinken iets in het café."
"postkantoor","post office","het","postkantoren","Ik breng het pakket naar het postkantoor."
"zwembad","swimming pool","het","zwembaden","De kinderen zwemmen in het zwembad."
"speeltuin","playground","de","speeltuinen","De kinderen spelen in de speeltuin."
"dierentuin","zoo","de","dierentuinen","In de dierentuin zien we apen."
"boerderij","farm","de","boerderijen","Op de boerderij wonen veel dieren."
"toren","tower","de","torens","De oude toren staat midden in de stad."
"kasteel","castle","het","kastelen","Het oude kasteel ligt aan een meer."
"boot","boat","de","boten","We varen met de boot over het meer."
"schip","ship","het","schepen","Het grote schip vaart de haven binnen."
"vrachtwagen","truck","de","vrachtwagens","De vrachtwagen brengt de spullen naar de winkel."
"taxi","taxi","de","taxi's","We nemen een taxi naar het station."
"motor","motorcycle","de","motoren","Hij rijdt op een snelle motor."
"brommer","moped","de","brommers","De jongen rijdt op zijn brommer."
"wiel","wheel","het","wielen","Het wiel van de fiets is lek."
"band","tire","de","banden","De band van mijn auto is plat."
"benzine","gasoline","de","benzine","De auto heeft nog genoeg benzine."
"stuur","steering wheel","het","sturen","Hij houdt het stuur stevig vast."
"rem","brake","de","remmen","De rem van mijn fiets werkt niet."
"helm","helmet","de","helmen","Zet je helm op tijdens het fietsen."
"ochtend","morning","de","ochtenden","In de ochtend drink ik thee."
"middag","afternoon","de","middagen","In de middag ga ik wandelen."
"avond","evening","de","avonden","In de avond lees ik een boek."
"minuut","minute","de","minuten","Wacht nog een minuut op mij."
"seconde","second","de","seconden","Geef me nog een seconde tijd."
"moment","moment","het","momenten","Wacht een moment, ik kom eraan."
"weekend","weekend","het","weekenden","In het weekend slapen we lang uit."
"sneeuw","snow","de","sneeuw","De sneeuw bedekt de hele straat."
"mist","fog","de","mist","Door de mist zie ik weinig."
"onweer","thunderstorm","het","onweren","Tijdens het onweer bleven we binnen."
"vorst","frost","de","vorst","Door de vorst is de weg glad."
"weer","weather","het","weer","Het weer is vandaag heel mooi."
"graad","degree","de","graden","Buiten is het maar één graad."
"hitte","heat","de","hitte","In de hitte blijf ik binnen."
"kou","cold","de","kou","Door de kou draag ik handschoenen."
"bui","shower","de","buien","Er komt een korte bui aan."
"gras","grass","het","grassen","Het gras in de tuin is hoog."
"steen","stone","de","stenen","Er ligt een grote steen op het pad."
"zand","sand","het","zand","De kinderen spelen in het zand."
"grond","ground","de","gronden","De appel valt op de grond."
"aarde","soil","de","aarde","De plant groeit in vruchtbare aarde."
"vuur","fire","het","vuren","We maken een vuur op het strand."
"hemel","sky","de","hemels","Er staat geen wolk aan de hemel."
"tak","branch","de","takken","De vogel zit op een hoge tak."
"zaad","seed","het","zaden","Ik stop een zaad in de aarde."
"paard","horse","het","paarden","Het paard rent door de wei."
"koe","cow","de","koeien","De koe geeft elke dag melk."
"varken","pig","het","varkens","Het varken ligt in de modder."
"schaap","sheep","het","schapen","Het schaap heeft een dikke vacht."
"haan","rooster","de","hanen","De haan kraait vroeg in de ochtend."
"eend","duck","de","eenden","De eend zwemt in de sloot."
"konijn","rabbit","het","konijnen","Het konijn eet een verse wortel."
"leeuw","lion","de","leeuwen","De leeuw is de koning van de dieren."
"olifant","elephant","de","olifanten","De olifant heeft een lange slurf."
"beer","bear","de","beren","De grote beer slaapt de hele winter."
"aap","monkey","de","apen","De aap klimt snel in de boom."
"slang","snake","de","slangen","De slang glijdt door het gras."
"spin","spider","de","spinnen","Er hangt een spin in de hoek."
"vlieg","fly","de","vliegen","Er zoemt een vlieg door de kamer."
"bij","bee","de","bijen","De bij vliegt van bloem naar bloem."
"vlinder","butterfly","de","vlinders","Een mooie vlinder zit op de bloem."
"liefde","love","de","liefdes","De liefde tussen hen is groot."
"geluk","happiness","het","geluk","Ik wens je veel geluk toe."
"pijn","pain","de","pijnen","Ik voel pijn in mijn rug."
"honger","hunger","de","honger","Na het werk heb ik honger."
"dorst","thirst","de","dorst","Na het sporten heb ik dorst."
"rust","rest","de","rust","Na een lange dag zoek ik rust."
"slaap","sleep","de","slaap","Ik heb vannacht weinig slaap gehad."
"hulp","help","de","hulp","Ik vraag mijn buurman om hulp."
"plan","plan","het","plannen","Wat is jouw plan voor morgen?"
"verhaal","story","het","verhalen","Mijn opa vertelt een spannend verhaal."
"grap","joke","de","grappen","Hij maakt altijd een leuke grap."
"kleur","color","de","kleuren","Welke kleur vind jij het mooist?"
"vorm","shape","de","vormen","De koek heeft een ronde vorm."
"maat","size","de","maten","Deze schoenen zijn niet mijn maat."
"gewicht","weight","het","gewichten","Het gewicht van de koffer is hoog."
"hoogte","height","de","hoogtes","De toren heeft een grote hoogte."
"afstand","distance","de","afstanden","De afstand naar het werk is kort."
"snelheid","speed","de","snelheden","De auto rijdt met hoge snelheid."
"begin","beginning","het","begin","Aan het begin was het moeilijk."
"einde","end","het","einden","Aan het einde van de straat woont hij."
"geluid","sound","het","geluiden","Ik hoor een vreemd geluid buiten."
"muziek","music","de","muziek","Ik luister graag naar rustige muziek."
"lied","song","het","liederen","Zij zingt een mooi lied."
"zin","sentence","de","zinnen","Schrijf deze zin in je schrift."
"letter","letter","de","letters","Schrijf de eerste letter heel groot."
"antwoord","answer","het","antwoorden","Ik weet het juiste antwoord niet."
"huiswerk","homework","het","huiswerk","Ik maak mijn huiswerk na school."
"nummer","number","het","nummers","Wat is jouw nieuwe nummer?"
"deel","part","het","delen","Dit deel van het boek is saai."
"stuk","piece","het","stukken","Wil je een stuk van de taart?"
